idnum,target,domain,time
s001,1,1,1
s001,1,2,1
s001,2,1,1
s001,2,2,1
s005,1,1,1
s005,1,2,1
s005,2,1,1
s005,2,2,1
s007,1,1,1
s007,1,2,1
s007,2,1,1
s007,2,2,1
s008,1,1,1
s008,1,2,1
s008,2,1,1
s008,2,2,1
s009,1,1,1
s009,1,2,1
s009,2,1,1
s009,2,2,1
s011,1,1,1
s011,1,2,1
s011,2,1,1
s011,2,2,1
s016,1,1,1
s016,1,2,1
s016,2,1,1
s016,2,2,1
s017,1,1,1
s017,1,2,1
s017,2,1,1
s017,2,2,1
s018,1,1,1
s018,1,2,1
s018,2,1,1
s018,2,2,1
s019,1,1,1
s019,1,2,1
s019,2,1,1
s019,2,2,1
s020,1,1,1
s020,1,2,1
s020,2,1,1
s020,2,2,1
s022,1,1,1
s022,1,2,1
s022,2,1,1
s022,2,2,1
s023,1,1,1
s023,1,2,1
s023,2,1,1
s023,2,2,1
s024,1,1,1
s024,1,2,1
s024,2,1,1
s024,2,2,1
s029,1,1,1
s029,1,2,1
s029,2,1,1
s029,2,2,1
s030,1,1,1
s030,1,2,1
s030,2,1,1
s030,2,2,1
s032,1,1,1
s032,1,2,1
s032,2,1,1
s032,2,2,1
s033,1,1,1
s033,1,2,1
s033,2,1,1
s033,2,2,1
s034,1,1,1
s034,1,2,1
s034,2,1,1
s034,2,2,1
s035,1,1,1
s035,1,2,1
s035,2,1,1
s035,2,2,1
s038,1,1,1
s038,1,2,1
s038,2,1,1
s038,2,2,1
s040,1,1,1
s040,1,2,1
s040,2,1,1
s040,2,2,1
s041,1,1,1
s041,1,2,1
s041,2,1,1
s041,2,2,1
s042,1,1,1
s042,1,2,1
s042,2,1,1
s042,2,2,1
s045,1,1,1
s045,1,2,1
s045,2,1,1
s045,2,2,1
s051,1,1,1
s051,1,2,1
s051,2,1,1
s051,2,2,1
s054,1,1,1
s054,1,2,1
s054,2,1,1
s054,2,2,1
s058,1,1,1
s058,1,2,1
s058,2,1,1
s058,2,2,1
s059,1,1,1
s059,1,2,1
s059,2,1,1
s059,2,2,1
s060,1,1,1
s060,1,2,1
s060,2,1,1
s060,2,2,1
s064,1,1,1
s064,1,2,1
s064,2,1,1
s064,2,2,1
s065,1,1,1
s065,1,2,1
s065,2,1,1
s065,2,2,1
s071,1,1,1
s071,1,2,1
s071,2,1,1
s071,2,2,1
s072,1,1,1
s072,1,2,1
s072,2,1,1
s072,2,2,1
s073,1,1,1
s073,1,2,1
s073,2,1,1
s073,2,2,1
s074,1,1,1
s074,1,2,1
s074,2,1,1
s074,2,2,1
s078,1,1,1
s078,1,2,1
s078,2,1,1
s078,2,2,1
s081,1,1,1
s081,1,2,1
s081,2,1,1
s081,2,2,1
s082,1,1,1
s082,1,2,1
s082,2,1,1
s082,2,2,1
s084,1,1,1
s084,1,2,1
s084,2,1,1
s084,2,2,1
s086,1,1,1
s086,1,2,1
s086,2,1,1
s086,2,2,1
s089,1,1,1
s089,1,2,1
s089,2,1,1
s089,2,2,1
s090,1,1,1
s090,1,2,1
s090,2,1,1
s090,2,2,1
s092,1,1,1
s092,1,2,1
s092,2,1,1
s092,2,2,1
s094,1,1,1
s094,1,2,1
s094,2,1,1
s094,2,2,1
s096,1,1,1
s096,1,2,1
s096,2,1,1
s096,2,2,1
