AllCue,AllCueDerivative,AllTarget,AllTargetDerivative,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,conf1,conf2,conf3,conf4,conf5,conf6,conf7,conf8,conf9,conf10,conf11,conf12,conf13,conf14,tr,idnum
-0.01464884,8.80056e-05,-0.2138377,0.001039305,-0.5590134,-0.3620067,-0.828,0.3580134,-0.08202685,-0.7010268,-0.2440067,-0.06502013,-0.8059933,-0.4539866,-0.0005260019,-0.001753058,0.000586778,0.01659926,0.1907075,-0.1186965,-9.673872e-06,-1.589117e-05,8.293886e-06,0.0001809791,0.00198828,-0.001734343,-0.3988107,-0.8874053,1,101
-0.01464884,8.800596e-05,-0.2138377,0.00103931,0.6549865,0.07999329,-0.265,0.7840134,0.4939731,0.1229732,0.9349933,-0.2940201,0.3570067,0.4100134,-0.0005304419,-0.001642658,0.000562218,0.02493626,0.1903375,-0.1257065,-1.411187e-05,9.454883e-05,-1.626511e-05,0.008518279,0.00161328,-0.008744443,-2.098908,-1.028374,2,101
-0.01464884,0.0001135282,-0.2138377,0.001039316,0.4379866,-0.06100671,0.316,0.7660134,0.3419732,-0.08002685,0.9809933,0.1429799,0.3070067,0.2890134,-0.0002939719,-0.001348158,0.000973508,0.01749026,0.1906675,-0.1257115,0.0002267961,0.0002785988,0.0004195939,-0.007265221,0.00232528,-0.001739443,0.6553163,0.6388742,3,101
-0.0145978,0.01157289,-0.2138377,0.001039316,-0.2030134,-1.073007,-1.446,-0.2889866,0.09097315,-0.8640269,-1.500007,0.2829799,0.1710067,-0.5699866,-0.0004647619,-0.001348158,0.000662528,0.01484926,0.1890075,-0.1317245,-0.0001804639,-1.589117e-05,-0.0003026961,-0.002459721,0.0003262799,-0.007747243,0.5285533,0.8768608,4,101
0.008321184,0.0208382,-0.2138377,0.02333005,0.3169866,-0.6370067,-0.185,0.1000134,-0.5960269,0.4909731,-0.1360067,0.3519799,0.8960067,0.06601342,-0.0006023219,-0.001293058,0.000611318,0.02039826,0.1816875,-0.1384485,-0.0001472339,3.918883e-05,-4.291511e-05,0.005729179,-0.00532972,-0.008457843,-0.6946147,-0.2136834,5,101
0.02702338,0.0005044947,-0.1692562,0.172546,-0.02001342,-0.4980067,0.023,-0.3619866,-0.6570269,0.1539732,-0.06500671,0.2429799,0.05600671,0.03401342,-0.0007176519,-0.001348158,0.000763608,0.02692926,0.1817075,-0.1452925,-0.0001250039,-7.097117e-05,0.0001605839,0.006712679,0.00200328,-0.008582643,0.5096443,0.4426752,6,101
0.009373307,-0.01669468,0.1294164,0.1597303,-1.579013,1.529993,1.106,-0.2769866,0.8369732,0.1749731,0.7679933,1.02898,0.4390067,-0.5949866,-0.0001383119,-0.001348158,0.000839208,0.01149226,0.1803075,-0.1177845,0.0005696661,-1.589117e-05,8.389189e-05,-0.01525702,0.0005892799,0.02577766,0.8063433,-0.01662828,7,101
-0.006415676,0.003569384,0.1499792,-0.08745317,-0.9250134,0.4559933,0.405,0.3760134,-0.8870269,0.02497315,-0.1970067,0.6609799,0.05100671,-0.09498658,-0.0005722419,-0.001193158,0.000973508,0.01066126,0.1771575,-0.1014115,-0.0004436039,0.0001390888,0.0001426039,-0.0006501209,-0.00115672,0.01463866,0.8527763,-0.09962558,8,101
0.01637936,0.01357952,-0.04560402,-0.1099897,-1.349013,1.050993,0.495,-0.7139866,0.6599732,-0.03602685,0.3659933,0.4549799,-0.3169933,0.08001342,-0.0002717619,-0.001281758,0.000973508,0.01349426,0.1790175,-0.1070605,0.0002908061,-0.0001044312,8.293886e-06,0.003014579,0.00384028,-0.007383043,-2.223469,-0.9065071,9,101
0.02073053,-0.007755334,-0.07117041,0.1014616,-1.367013,0.2769933,-0.177,-0.5209866,-0.4170268,-0.1600268,0.5849933,0.03097987,-0.4979933,-0.1699866,-0.0004624519,-0.0008954483,0.000973508,0.01430026,0.1542175,-0.1181445,-0.0002003639,0.0003703988,8.293886e-06,0.0009866791,-0.02280972,-0.01281834,1.319889,-0.4786579,10,101
0.0008787322,-0.0138533,0.1560109,0.06919177,-0.7030134,0.02299329,0.482,-1.485987,-0.4760269,-0.7800268,-0.3900067,-1.00402,0.003006712,-0.4739866,-0.001006012,-0.0008954483,0.001028408,0.02438326,0.2096475,-0.1652725,-0.0005532239,-1.589117e-05,6.320389e-05,0.01026398,0.05742528,-0.04885834,-1.647845,0.6261003,11,101
-0.00707043,0.01001605,0.06713163,-0.03570482,0.3299866,-0.9740067,-0.652,-0.8579866,-0.6620268,-0.5290268,-1.221007,-1.14502,-0.6879933,-0.3679866,-0.0006015819,-0.0007020983,0.000608248,0.02311526,0.1584275,-0.1558225,0.0003947461,0.0001774588,-0.0004118861,-0.001087521,-0.04923272,0.007710657,-0.4905957,0.6149804,12,101
0.02077467,0.01140773,0.08403986,0.06058756,0.03798658,0.7569933,0.96,0.1710134,0.5959732,0.5869732,0.9229933,0.4749799,0.8490067,-0.1709866,-0.0007176519,-0.0005411483,0.000753628,0.02106326,0.1746375,-0.09062452,-0.0001257539,0.0001450588,0.0001536739,-0.001870821,0.01819528,0.06346466,-0.8613537,0.01066222,13,101
