sub,tr,seconds,task,ITI,timepoint
sub-01,1,0,0,1,2
sub-01,2,5,0,1,2
sub-01,3,10,0,1,2
sub-01,4,15,0,1,2
sub-01,5,20,1,0,2
sub-01,6,25,1,0,2
sub-01,7,30,1,0,2
sub-01,8,35,1,0,2
sub-01,9,40,1,0,2
sub-01,10,45,1,0,2
sub-01,11,50,0,1,2
sub-01,12,55,0,1,2
sub-01,13,60,0,1,2
sub-01,14,65,0,1,2
sub-01,15,70,0,1,2
sub-01,16,75,0,1,2
sub-01,17,80,1,0,2
sub-01,18,85,1,0,2
sub-01,19,90,1,0,2
sub-01,20,95,1,0,2
sub-01,21,100,1,0,2
sub-01,22,105,1,0,2
sub-01,23,110,0,1,2
sub-01,24,115,0,1,2
sub-01,25,120,0,1,2
sub-01,26,125,0,1,2
sub-01,27,130,0,1,2
sub-01,28,135,0,1,2
sub-01,29,140,1,0,2
sub-01,30,145,1,0,2
sub-01,31,150,1,0,2
sub-01,32,155,1,0,2
sub-01,33,160,1,0,2
sub-01,34,165,1,0,2
sub-01,35,170,0,1,2
sub-01,36,175,0,1,2
sub-01,37,180,0,1,2
sub-01,38,185,0,1,2
sub-01,39,190,0,1,2
sub-01,40,195,0,1,2
sub-01,41,200,1,0,2
sub-01,42,205,1,0,2
sub-01,43,210,1,0,2
sub-01,44,215,1,0,2
sub-01,45,220,1,0,2
sub-01,46,225,1,0,2
sub-01,47,230,0,1,2
sub-01,48,235,0,1,2
sub-01,49,240,0,1,2
sub-01,50,245,0,1,2
sub-01,51,250,0,1,2
sub-01,52,255,0,1,2
sub-01,53,260,1,0,2
sub-01,54,265,1,0,2
sub-01,55,270,1,0,2
sub-01,56,275,1,0,2
sub-01,57,280,1,0,2
sub-01,58,285,1,0,2
sub-01,59,290,0,1,2
sub-01,60,295,0,1,2
sub-01,61,300,0,1,2
sub-01,62,305,0,1,2
sub-01,63,310,0,1,2
sub-01,64,315,0,1,2
sub-01,65,320,1,0,2
sub-01,66,325,1,0,2
sub-01,67,330,1,0,2
sub-01,68,335,1,0,2
sub-01,69,340,1,0,2
